1.0C_Dch_Tmax,1.0C_Dch_Capacity,1.0C_Dch_duration,2.0C_Dch_Tmax,2.0C_Dch_Capacity,2.0C_Dch_duration,standard_dch_cycle_capacity,DCIR_1s,DCIR_SOC_1s,DCIR_2s,DCIR_SOC_2s,DCIR_4s,DCIR_SOC_4s,pulse_relaxation_timeseries,pOCV_timeseries
,,,,,,,,,,,,,,4.1522
,,,,,,,,,,,,,,4.152
,,,,,,,,,,,,,,4.1518
,,,,,,,,,,,,,,4.1518
,,,,,,,,,,,,,,4.1518
,,,,,,,,,,,,,,4.1518
,,,,,,,,,,,,,,4.1518
,,,,,,,,,,,,,,4.1514
,,,,,,,,,,,,,,4.1518
,,,,,,,,,,,,,,4.1514
,,,,,,,,,,,,,,4.1514
,,,,,,,,,,,,,,4.1512
,,,,,,,,,,,,,,4.1514
,,,,,,,,,,,,,,4.1516
,,,,,,,,,,,,,,4.1512
,,,,,,,,,,,,,,4.151
,,,,,,,,,,,,,,4.151
,,,,,,,,,,,,,,4.151
,,,,,,,,,,,,,,4.1508
,,,,,,,,,,,,,,4.1508
,,,,,,,,,,,,,,4.151
,,,,,,,,,,,,,,4.1508
,,,,,,,,,,,,,,4.1502
,,,,,,,,,,,,,,4.1502
,,,,,,,,,,,,,,4.1504
,,,,,,,,,,,,,,4.1506
,,,,,,,,,,,,,,4.1504
,,,,,,,,,,,,,,4.15
,,,,,,,,,,,,,,4.1504
,,,,,,,,,,,,,,4.1506
,,,,,,,,,,,,,,4.1504
,,,,,,,,,,,,,,4.1502
,,,,,,,,,,,,,,4.1502
,,,,,,,,,,,,,,4.15
,,,,,,,,,,,,,,4.1498
,,,,,,,,,,,,,,4.1498
,,,,,,,,,,,,,,4.1498
,,,,,,,,,,,,,,4.15
,,,,,,,,,,,,,,4.1496
,,,,,,,,,,,,,,4.15
,,,,,,,,,,,,,,4.1498
,,,,,,,,,,,,,,4.1498
,,,,,,,,,,,,,,4.1496
,,,,,,,,,,,,,,4.1498
,,,,,,,,,,,,,,4.1496
,,,,,,,,,,,,,,4.1496
,,,,,,,,,,,,,,4.1498
,,,,,,,,,,,,,,4.1496
,,,,,,,,,,,,,,4.1494
,,,,,,,,,,,,,,4.1494
,,,,,,,,,,,,,,4.1492
,,,,,,,,,,,,,,4.149
,,,,,,,,,,,,,,4.149
,,,,,,,,,,,,,,4.1488
,,,,,,,,,,,,,,4.149
,,,,,,,,,,,,,,4.1488
,,,,,,,,,,,,,,4.1486
,,,,,,,,,,,,,,4.1488
,,,,,,,,,,,,,,4.149
,,,,,,,,,,,,,,4.1488
,,,,,,,,,,,,,,4.1486
,,,,,,,,,,,,,,4.1488
,,,,,,,,,,,,,,4.1486
,,,,,,,,,,,,,,4.1488
,,,,,,,,,,,,,,4.1484
,,,,,,,,,,,,,,4.1484
,,,,,,,,,,,,,,4.1484
,,,,,,,,,,,,,,4.1482
,,,,,,,,,,,,,,4.148
,,,,,,,,,,,,,,4.1482
,,,,,,,,,,,,,,4.1482
,,,,,,,,,,,,,,4.1482
,,,,,,,,,,,,,,4.148
,,,,,,,,,,,,,,4.148
,,,,,,,,,,,,,,4.1478
,,,,,,,,,,,,,,4.1478
,,,,,,,,,,,,,,4.1478
,,,,,,,,,,,,,,4.1478
,,,,,,,,,,,,,,4.1476
,,,,,,,,,,,,,,4.1476
,,,,,,,,,,,,,,4.1476
,,,,,,,,,,,,,,4.1474
,,,,,,,,,,,,,,4.1472
,,,,,,,,,,,,,,4.1472
,,,,,,,,,,,,,,4.1474
,,,,,,,,,,,,,,4.147
,,,,,,,,,,,,,,4.1472
,,,,,,,,,,,,,,4.147
,,,,,,,,,,,,,,4.147
,,,,,,,,,,,,,,4.147
,,,,,,,,,,,,,,4.1468
,,,,,,,,,,,,,,4.147
,,,,,,,,,,,,,,4.147
,,,,,,,,,,,,,,4.1468
,,,,,,,,,,,,,,4.147
,,,,,,,,,,,,,,4.1468
,,,,,,,,,,,,,,4.1468
,,,,,,,,,,,,,,4.1466
,,,,,,,,,,,,,,4.1466
,,,,,,,,,,,,,,4.1464
,,,,,,,,,,,,,,4.1464
,,,,,,,,,,,,,,4.1464
,,,,,,,,,,,,,,4.1464
,,,,,,,,,,,,,,4.1464
,,,,,,,,,,,,,,4.146
,,,,,,,,,,,,,,4.146
,,,,,,,,,,,,,,4.1462
,,,,,,,,,,,,,,4.146
,,,,,,,,,,,,,,4.146
,,,,,,,,,,,,,,4.1462
,,,,,,,,,,,,,,4.1456
,,,,,,,,,,,,,,4.1458
,,,,,,,,,,,,,,4.1458
,,,,,,,,,,,,,,4.1458
,,,,,,,,,,,,,,4.1458
,,,,,,,,,,,,,,4.1456
,,,,,,,,,,,,,,4.1456
,,,,,,,,,,,,,,4.1454
,,,,,,,,,,,,,,4.1456
,,,,,,,,,,,,,,4.1458
,,,,,,,,,,,,,,4.1456
,,,,,,,,,,,,,,4.1454
,,,,,,,,,,,,,,4.1458
,,,,,,,,,,,,,,4.1454
,,,,,,,,,,,,,,4.1452
,,,,,,,,,,,,,,4.145
,,,,,,,,,,,,,,4.145
,,,,,,,,,,,,,,4.1452
,,,,,,,,,,,,,,4.145
,,,,,,,,,,,,,,4.1452
,,,,,,,,,,,,,,4.145
,,,,,,,,,,,,,,4.145
,,,,,,,,,,,,,,4.1452
,,,,,,,,,,,,,,4.1448
,,,,,,,,,,,,,,4.1448
,,,,,,,,,,,,,,4.1446
,,,,,,,,,,,,,,4.1444
,,,,,,,,,,,,,,4.1444
,,,,,,,,,,,,,,4.1446
,,,,,,,,,,,,,,4.1446
,,,,,,,,,,,,,,4.1444
,,,,,,,,,,,,,,4.1444
,,,,,,,,,,,,,,4.1444
,,,,,,,,,,,,,,4.1442
,,,,,,,,,,,,,,4.1446
,,,,,,,,,,,,,,4.1444
,,,,,,,,,,,,,,4.144
,,,,,,,,,,,,,,4.1442
,,,,,,,,,,,,,,4.1442
,,,,,,,,,,,,,,4.144
,,,,,,,,,,,,,,4.1442
,,,,,,,,,,,,,,4.144
,,,,,,,,,,,,,,4.1442
,,,,,,,,,,,,,,4.144
,,,,,,,,,,,,,,4.1436
,,,,,,,,,,,,,,4.1436
,,,,,,,,,,,,,,4.1436
,,,,,,,,,,,,,,4.1438
,,,,,,,,,,,,,,4.1438
,,,,,,,,,,,,,,4.1438
,,,,,,,,,,,,,,4.1434
,,,,,,,,,,,,,,4.1434
,,,,,,,,,,,,,,4.1434
,,,,,,,,,,,,,,4.143
,,,,,,,,,,,,,,4.1432
,,,,,,,,,,,,,,4.1432
,,,,,,,,,,,,,,4.1434
,,,,,,,,,,,,,,4.1432
,,,,,,,,,,,,,,4.1432
,,,,,,,,,,,,,,4.143
,,,,,,,,,,,,,,4.143
,,,,,,,,,,,,,,4.1428
,,,,,,,,,,,,,,4.1426
,,,,,,,,,,,,,,4.1428
,,,,,,,,,,,,,,4.143
,,,,,,,,,,,,,,4.1428
,,,,,,,,,,,,,,4.1424
,,,,,,,,,,,,,,4.1426
,,,,,,,,,,,,,,4.1422
,,,,,,,,,,,,,,4.1422
,,,,,,,,,,,,,,4.1426
,,,,,,,,,,,,,,4.1426
,,,,,,,,,,,,,,4.1424
,,,,,,,,,,,,,,4.1422
,,,,,,,,,,,,,,4.1422
,,,,,,,,,,,,,,4.142
,,,,,,,,,,,,,,4.1422
,,,,,,,,,,,,,,4.1422
